Year,bResult,gamelength,game_id,total_kills_b_team,total_kills_r_team,total_monsters_b,total_monsters_a,total_towers_b_team,total_towers_r_team,blue_gold,red_gold,Season_Encode
2015,0,36,a6d3befd-5587-4835-a73e-6707a45b84a4,2.0,2.0,0.0,0.0,0.0,0.0,12492,11849,1
2015,0,46,cb1c43b2-8886-48fe-9519-b842a7f5eb4b,2.0,2.0,0.0,0.0,0.0,0.0,12165,13123,2
2016,1,31,0d3a819a-1e0d-474a-9c23-17263d5e81a6,2.0,2.0,0.0,0.0,0.0,0.0,13190,12774,2
2016,1,42,a16aba19-7282-4dc9-8b00-7b784fcf760d,8.0,8.0,0.0,0.0,1.0,1.0,14043,13062,2
2016,1,44,b9429a09-b320-4882-aec4-fb25ab3c0ed8,6.0,6.0,1.0,1.0,1.0,1.0,15118,13253,1
2016,1,26,0839b8d7-3070-4b6e-b186-417ad69ab6eb,6.0,6.0,1.0,0.0,1.0,1.0,14067,13117,1
2016,0,33,98a8164d-fddc-4df8-86a6-7f735949e35a,0.0,0.0,1.0,0.0,0.0,0.0,12405,14355,1
2015,1,28,bceb0519-126e-417f-be5f-fef44b64e8f8,2.0,2.0,0.0,0.0,2.0,2.0,13093,13352,1
2015,0,43,17e6f65e-45cc-425e-8f4e-422d851ff9f0,6.0,6.0,1.0,0.0,0.0,2.0,12371,13707,2
2016,0,57,a0fe2b05-cd68-4f4d-b141-72114be805df,4.0,4.0,1.0,0.0,2.0,2.0,13573,13267,2
2016,0,34,f59a2bd7-359e-4737-81d0-7f0ae0de6529,0.0,0.0,0.0,1.0,1.0,1.0,12426,13101,2
2016,1,32,0ee9710b-0402-4da9-9504-45a0428a4636,2.0,2.0,1.0,0.0,0.0,0.0,13310,12677,2
2016,0,48,2a2e949a-1e95-40be-b46e-06485f02fb7f,6.0,6.0,0.0,0.0,0.0,0.0,13413,13624,2
2014,0,57,b0a55038-5efe-426d-8a3d-934b74a5bbc9,2.0,2.0,1.0,0.0,0.0,2.0,12706,12162,1
2015,1,41,365115c6-e9d3-4414-99c8-5eed847d1959,10.0,10.0,0.0,1.0,1.0,0.0,13102,11433,2
2016,0,40,cc7f93a3-bab3-4b9f-8228-a7585e00de61,0.0,0.0,0.0,0.0,0.0,0.0,12922,12782,1
2015,1,33,6c94e648-60e0-4db8-9dc2-fc1108a70ae3,2.0,2.0,0.0,0.0,0.0,0.0,12456,11912,2
2016,1,52,e81ee43e-afad-4403-b99e-c1a355dfc7f0,4.0,4.0,0.0,1.0,0.0,0.0,13232,13557,2
2016,0,32,f99bf505-a4b5-4a11-a71b-15aa27858ae2,0.0,0.0,0.0,1.0,1.0,1.0,13104,13191,2
2016,1,36,2807581c-b3db-4922-a4ad-e0c9c8853565,8.0,8.0,0.0,0.0,1.0,0.0,14671,13543,1
2015,1,39,df47eb89-edee-4f7c-95ea-ed4ba0137912,2.0,2.0,0.0,0.0,0.0,0.0,12892,11636,2
2015,0,37,7a838deb-313e-4341-a351-dc074d8a35f2,4.0,4.0,0.0,0.0,1.0,0.0,13930,11917,1
2016,1,25,afba2c53-963c-4efb-ba49-0de44a215ae4,6.0,6.0,0.0,0.0,0.0,0.0,13574,13307,1
2016,0,33,563aa9cc-9805-4626-b44f-8eda73c1a09f,2.0,2.0,0.0,0.0,0.0,0.0,12881,12728,2
2015,0,42,f773e0d4-fa06-4f37-b46a-c8f0cf716c71,6.0,6.0,0.0,1.0,0.0,0.0,12929,11882,2
2016,1,36,569e8b64-9a03-44f7-80f2-33038cb117a9,0.0,0.0,0.0,1.0,0.0,0.0,12912,13659,1
2016,1,40,63606271-15d9-4efd-a585-fd17fc7e47e6,4.0,4.0,0.0,1.0,1.0,1.0,13301,14160,1
2016,1,23,8257fb0e-2790-4922-94bd-b5e8768dacb7,14.0,14.0,1.0,0.0,1.0,0.0,15058,10787,1
2016,1,42,90111a71-b779-40bf-b5c9-2991edea20bc,2.0,2.0,0.0,0.0,0.0,0.0,13449,12614,2
2015,1,56,fc48d8e5-3d8a-4d7a-baef-8d1d71a904d4,0.0,0.0,0.0,0.0,0.0,0.0,11566,11939,2
2016,1,27,f007cfc2-75cc-4fc6-b99e-5a90db09a988,6.0,6.0,0.0,0.0,1.0,0.0,14265,12902,1
2016,1,28,2f7b8398-3bf6-4b13-b5bb-eac27c8cec64,8.0,8.0,1.0,0.0,2.0,0.0,14004,12134,2
2016,0,31,bcf7f933-bbd0-4126-96cd-e241bb237ccf,4.0,4.0,0.0,0.0,1.0,0.0,13814,12095,2
2015,1,46,58287926-f430-422d-9c56-6c11f719d27a,6.0,6.0,0.0,0.0,1.0,0.0,13885,11987,2
2015,0,43,c5ce4edb-03ce-4d54-bc90-8d66bfcc1c1a,2.0,2.0,0.0,1.0,1.0,2.0,11351,12937,2
2016,0,41,dcc2d04b-6780-462f-8896-8000dfce00b7,0.0,0.0,0.0,0.0,0.0,0.0,12549,13445,2
2016,1,30,116f2404-08e1-4ca1-80c2-d84cde7348f4,12.0,12.0,0.0,0.0,0.0,0.0,15216,14271,2
2015,1,29,a5777564-8456-4fb3-bc4f-c4f83f1025db,6.0,6.0,0.0,0.0,0.0,0.0,12768,11466,1
2016,0,52,92bc9db8-2ac6-40c7-8b90-2f887ba83c35,0.0,0.0,1.0,0.0,1.0,2.0,12422,13392,1
2015,0,39,2d863abb-42b9-49ab-a38e-ff8a0822f739,0.0,0.0,0.0,0.0,0.0,0.0,11386,11331,2
2016,1,52,54017db5-23fd-43b4-a5b2-4c2840b38051,6.0,6.0,0.0,0.0,2.0,2.0,14106,13346,1
2016,0,26,23ca4d0d-3217-41c6-a043-c975a845a4fb,2.0,2.0,0.0,1.0,0.0,0.0,11575,13070,2
2016,0,35,c6787b95-4f51-4ef8-9197-84e11292dc9c,2.0,2.0,0.0,0.0,0.0,0.0,13088,13545,2
2016,0,44,cd454fa7-54db-4fbb-a6e2-adcfdbf93c56,6.0,6.0,0.0,0.0,0.0,0.0,13670,12617,2
2016,1,41,cf969ed6-22cb-490e-8e73-bb5fa3fa6b10,6.0,6.0,0.0,0.0,0.0,0.0,13761,12792,2
2015,1,35,cea6cf7b-0248-462a-b692-0a8566a6e0ed,4.0,4.0,0.0,1.0,1.0,1.0,12328,12198,1
2015,1,41,25ea4eb8-8e17-4e6b-b644-a2517e85952d,2.0,2.0,0.0,0.0,0.0,0.0,11564,11815,1
2015,1,36,8aa96033-2b5a-4fac-a9cb-886578b08947,4.0,4.0,1.0,0.0,2.0,2.0,13351,12726,1
2016,0,29,8da120b7-c357-41ba-8b15-5b5c84f4f835,6.0,6.0,0.0,1.0,0.0,1.0,13653,15128,1
2016,0,35,214a1ce7-e025-456b-8ef9-0af6f7f379fa,0.0,0.0,0.0,2.0,1.0,2.0,12727,14712,1
2015,1,39,624f6ccb-225a-485f-b482-baa206aeae70,2.0,2.0,1.0,0.0,0.0,1.0,12099,10892,2
2015,1,30,3edd6f9b-2240-48e0-b262-7ead0af93b8d,2.0,2.0,0.0,0.0,0.0,1.0,12183,11609,2
2016,1,35,4240a17c-1285-4074-ae4f-dad223ce1de6,0.0,0.0,1.0,0.0,3.0,2.0,14859,13725,2
2016,0,32,04ffddda-87eb-4fe9-8d4f-acad687de2e9,0.0,0.0,0.0,0.0,0.0,0.0,11818,12941,2
2016,1,42,d10d70eb-6c6b-4717-a38c-e2453bb38bdd,2.0,2.0,0.0,0.0,0.0,0.0,12457,12128,2
2016,1,37,290592aa-1512-49e2-a6e1-5d53373a1f7a,10.0,10.0,1.0,0.0,1.0,0.0,13806,13416,1
2016,0,39,978eec1b-622a-4226-ac84-e9f55588a690,4.0,4.0,0.0,2.0,2.0,2.0,12814,13561,2
2015,0,38,e4714e72-26cb-4855-979a-26709536ccb9,4.0,4.0,0.0,0.0,1.0,1.0,11253,12938,1
2015,1,52,f5636592-dc0c-4744-bcad-3ee14cb88ac7,2.0,2.0,0.0,0.0,0.0,0.0,12736,11999,1
2015,1,38,602967f6-4d63-4bb4-ba0e-e2ed123541f7,0.0,0.0,0.0,1.0,0.0,0.0,12037,11744,1
2015,1,39,bd14da8a-a70a-46a4-8bef-0224f366532c,2.0,2.0,0.0,1.0,0.0,0.0,13396,11695,2
2015,0,37,c80d85f2-a446-4407-b016-d1db4e969aca,2.0,2.0,0.0,0.0,0.0,0.0,12414,12462,1
2016,0,30,8a5dadbe-1345-4ed4-8ba4-7403671cdd0e,0.0,0.0,0.0,0.0,0.0,0.0,12665,12739,1
2016,0,48,f48c288b-8aed-45b2-80f3-899de9a51807,2.0,2.0,0.0,0.0,0.0,0.0,13164,12796,1
2016,0,37,3de9227b-5d7f-45ce-be44-78cc4dd68df4,0.0,0.0,1.0,1.0,4.0,4.0,14869,15851,2
2015,0,40,792ce0c9-7004-4f80-8d22-c781b19c9763,2.0,2.0,0.0,0.0,0.0,0.0,11766,12890,1
2016,1,39,be8953dc-6306-4055-8254-92728316a4a9,2.0,2.0,0.0,0.0,1.0,1.0,13363,13432,2
2015,0,43,8b92944e-7881-4993-a2ec-ede4098f0fc2,2.0,2.0,0.0,0.0,1.0,0.0,12663,11709,2
2016,1,32,51348ca0-dcbf-4457-b3ee-d3498107f869,4.0,4.0,0.0,0.0,0.0,0.0,13048,13296,1
2016,0,24,287ce041-8067-4033-b6d7-8886d6e80504,4.0,4.0,0.0,1.0,0.0,1.0,12551,15833,1
2016,1,36,7d482b3a-07a8-4169-b43c-832f0c504d3c,0.0,0.0,0.0,0.0,0.0,0.0,13030,12651,1
2015,1,35,db60d8b8-a4e2-4a81-ad57-0b2bf29a9844,16.0,16.0,0.0,1.0,3.0,0.0,16123,11232,2
