date,wp,ws,df_logg_wp,df_logg_ws
2009-07-02 15:00:00,0.0,1.25,-inf,0.22314355131420976
2009-07-02 16:00:00,0.01,1.32,-4.605170185988091,0.27763173659827955
2009-07-02 17:00:00,0.01,1.83,-4.605170185988091,0.6043159668533296
2009-07-02 18:00:00,0.01,2.51,-4.605170185988091,0.9202827531436925
2009-07-02 19:00:00,0.01,3.19,-4.605170185988091,1.1600209167967532
2009-07-02 20:00:00,0.01,3.74,-4.605170185988091,1.3190856114264407
2009-07-02 21:00:00,0.08,3.96,-2.5257286443082556,1.3762440252663892
2009-07-02 22:00:00,0.025,3.69,-3.6888794541139363,1.3056264580524357
2009-07-02 23:00:00,0.08,3.17,-2.5257286443082556,1.1537315878891892
2009-07-03 00:00:00,0.201,2.69,-1.6044503709230613,0.9895411936137477
2009-07-03 01:00:00,0.12,2.83,-2.120263536200091,1.0402767116551463
2009-07-03 02:00:00,0.035,2.54,-3.3524072174927233,0.9321640810304452
2009-07-03 03:00:00,0.05,2.44,-2.995732273553991,0.8919980393051105
2009-07-03 04:00:00,0.08,2.49,-2.5257286443082556,0.9122827104766164
2009-07-03 05:00:00,0.065,2.64,-2.7333680090865,0.9707789171582248
2009-07-03 06:00:00,0.14,2.83,-1.9661128563728327,1.0402767116551463
2009-07-03 07:00:00,0.08,3.05,-2.5257286443082556,1.1151415906193203
2009-07-03 08:00:00,0.055,3.33,-2.900422093749666,1.2029723039923526
2009-07-03 09:00:00,0.025,3.74,-3.6888794541139363,1.3190856114264407
2009-07-03 10:00:00,0.04,4.3,-3.2188758248682006,1.4586150226995167
2009-07-03 11:00:00,0.1,4.88,-2.3025850929940455,1.5851452198650557
2009-07-03 12:00:00,0.175,5.28,-1.742969305058623,1.6639260977181702
2009-07-03 13:00:00,0.13,5.42,-2.0402208285265546,1.6900958154515549
2009-07-03 14:00:00,0.095,5.49,-2.353878387381596,1.7029282555214393
2009-07-03 15:00:00,0.095,5.66,-2.353878387381596,1.7334238922150915
2009-07-03 16:00:00,0.19,5.95,-1.6607312068216509,1.7833912195575383
2009-07-03 17:00:00,0.221,6.33,-1.5095925774643841,1.8453002361560848
2009-07-03 18:00:00,0.226,6.71,-1.487220279709851,1.9035989509835904
2009-07-03 19:00:00,0.301,7.0,-1.2006450142332614,1.9459101490553132
2009-07-03 20:00:00,0.421,7.14,-0.8651224452997557,1.965712776351493
2009-07-03 21:00:00,0.486,7.16,-0.7215466550816433,1.9685099809725544
2009-07-03 22:00:00,0.476,7.05,-0.7423374247507171,1.9530276168241774
2009-07-03 23:00:00,0.476,6.77,-0.7423374247507171,1.9125010869241836
2009-07-04 00:00:00,0.521,6.27,-0.6520052372287701,1.8357763546448294
2009-07-04 01:00:00,0.476,5.45,-0.7423374247507171,1.6956156086751528
2009-07-04 02:00:00,0.501,4.54,-0.6911491778972723,1.5129270120532565
2009-07-04 03:00:00,0.662,3.84,-0.4124897230451288,1.3454723665996355
2009-07-04 04:00:00,0.747,3.5,-0.29169009384931976,1.252762968495368
2009-07-04 05:00:00,0.622,3.38,-0.4748151862429576,1.2178757094949273
2009-07-04 06:00:00,0.406,3.21,-0.9014021193804044,1.1662709371419244
2009-07-04 07:00:00,0.19,2.87,-1.6607312068216509,1.0543120297715298
2009-07-04 08:00:00,0.11,2.62,-2.2072749131897207,0.9631743177730056
2009-07-04 09:00:00,0.075,2.84,-2.5902671654458267,1.0438040521731147
2009-07-04 10:00:00,0.135,3.8,-2.0024805005437076,1.33500106673234
2009-07-04 11:00:00,0.11,5.13,-2.2072749131897207,1.6351056591826783
2009-07-04 12:00:00,0.201,6.26,-1.6044503709230613,1.8341801851120072
2009-07-04 13:00:00,0.386,6.75,-0.9519179095173061,1.9095425048844386
2009-07-04 14:00:00,0.461,6.73,-0.7743572359854884,1.9065751436566365
2009-07-04 15:00:00,0.451,6.52,-0.7962879394794586,1.8748743759385615
2009-07-04 16:00:00,0.376,6.35,-0.9781661355922425,1.8484548129046001
2009-07-04 17:00:00,0.266,6.29,-1.324258970200438,1.8389610707123492
2009-07-04 18:00:00,0.241,6.36,-1.422958345491482,1.8500283773520307
2009-07-04 19:00:00,0.236,6.54,-1.443923473956527,1.8779371654691073
2009-07-04 20:00:00,0.226,6.55,-1.487220279709851,1.8794650496471605
2009-07-04 21:00:00,0.271,6.1,-1.305636458102436,1.8082887711792655
2009-07-04 22:00:00,0.271,5.0,-1.305636458102436,1.6094379124341003
2009-07-04 23:00:00,0.29600000000000004,3.65,-1.2173958246580765,1.2947271675944
2009-07-05 00:00:00,0.19,2.65,-1.6607312068216509,0.9745596399981308
2009-07-05 01:00:00,0.12,2.22,-2.120263536200091,0.7975071958841882
2009-07-05 02:00:00,0.195,2.74,-1.6347557204183902,1.007957920399979
2009-07-05 03:00:00,0.281,3.35,-1.2694006096483912,1.208960345836975
2009-07-05 04:00:00,0.221,3.62,-1.5095925774643841,1.2864740258376797
2009-07-05 05:00:00,0.14,3.63,-1.9661128563728327,1.2892326482767593
2009-07-05 06:00:00,0.21600000000000005,3.53,-1.5324768712979717,1.2612978709452054
2009-07-05 07:00:00,0.281,3.39,-1.2694006096483912,1.220829921392359
2009-07-05 08:00:00,0.206,3.29,-1.579879110192556,1.1908875647772805
2009-07-05 09:00:00,0.185,3.33,-1.6873994539038122,1.2029723039923526
2009-07-05 10:00:00,0.246,3.55,-1.4024237430497744,1.2669476034873244
2009-07-05 11:00:00,0.266,3.87,-1.324258970200438,1.3532545070416904
2009-07-05 12:00:00,0.165,4.18,-1.8018098050815563,1.430311246536665
2009-07-05 13:00:00,0.025,4.45,-3.6888794541139363,1.4929040961781488
2009-07-05 14:00:00,0.01,4.7,-4.605170185988091,1.547562508716013
2009-07-05 15:00:00,0.0,4.97,-inf,1.6034198401085373
2009-07-05 16:00:00,0.01,5.24,-4.605170185988091,1.6563214983329508
2009-07-05 17:00:00,0.035,5.5,-3.3524072174927233,1.7047480922384253
2009-07-05 18:00:00,0.03,5.77,-3.506557897319982,1.7526720805200082
2009-07-05 19:00:00,0.02,6.01,-3.912023005428146,1.7934247485471162
2009-07-05 20:00:00,0.045,5.99,-3.101092789211817,1.7900914121273581
2009-07-05 21:00:00,0.07,5.39,-2.659260036932778,1.6845453849209058
2009-07-05 22:00:00,0.085,4.07,-2.4651040224918206,1.4036429994545037
2009-07-05 23:00:00,0.065,2.54,-2.7333680090865,0.9321640810304452
2009-07-06 00:00:00,0.015,1.5,-4.199705077879927,0.4054651081081644
2009-07-06 01:00:00,0.01,2.59,-4.605170185988091,0.9516578757114463
2009-07-06 02:00:00,0.035,2.79,-3.3524072174927233,1.0260415958332743
2009-07-06 03:00:00,0.09,3.04,-2.4079456086518722,1.1118575154181303
2009-07-06 04:00:00,0.115,3.09,-2.162823150618887,1.128171090909654
2009-07-06 05:00:00,0.06,2.99,-2.8134107167600364,1.095273387402595
2009-07-06 06:00:00,0.05,2.86,-2.995732273553991,1.0508216248317612
2009-07-06 07:00:00,0.03,2.8,-3.506557897319982,1.0296194171811581
2009-07-06 08:00:00,0.0,2.76,-inf,1.0152306797290584
2009-07-06 09:00:00,0.0,2.64,-inf,0.9707789171582248
2009-07-06 10:00:00,0.04,2.58,-3.2188758248682006,0.9477893989335261
2009-07-06 11:00:00,0.04,2.89,-3.2188758248682006,1.0612565021243408
2009-07-06 12:00:00,0.09,3.23,-2.4079456086518722,1.172482137234565
2009-07-06 13:00:00,0.125,3.18,-2.0794415416798357,1.1568811967920856
2009-07-06 14:00:00,0.085,3.05,-2.4651040224918206,1.1151415906193203
2009-07-06 15:00:00,0.055,3.4,-2.900422093749666,1.2237754316221157
2009-07-06 16:00:00,0.085,4.36,-2.4651040224918206,1.472472057360943
2009-07-06 17:00:00,0.211,5.52,-1.5558971455060706,1.7083778602890038
2009-07-06 18:00:00,0.266,6.45,-1.324258970200438,1.864080130807681
2009-07-06 19:00:00,0.185,6.88,-1.6873994539038122,1.9286186519452522
2009-07-06 20:00:00,0.16,6.86,-1.8325814637483102,1.925707441737794
2009-07-06 21:00:00,0.075,6.58,-2.5902671654458267,1.884034745337226
2009-07-06 22:00:00,0.175,6.17,-1.742969305058623,1.8196988379172965
2009-07-06 23:00:00,0.12,5.67,-2.120263536200091,1.7351891177396608
2009-07-07 00:00:00,0.02,5.01,-3.912023005428146,1.6114359150967734
2009-07-07 01:00:00,0.05,3.62,-2.995732273553991,1.2864740258376797
2009-07-07 02:00:00,0.07,2.69,-2.659260036932778,0.9895411936137477
2009-07-07 03:00:00,0.005,2.28,-5.298317366548036,0.8241754429663494
2009-07-07 04:00:00,0.0,2.38,-inf,0.8671004876833833
2009-07-07 05:00:00,0.03,2.58,-3.506557897319982,0.9477893989335261
2009-07-07 06:00:00,0.02,2.72,-3.912023005428146,1.000631880307906
2009-07-07 07:00:00,0.075,2.79,-2.5902671654458267,1.0260415958332743
2009-07-07 08:00:00,0.105,2.99,-2.2537949288246137,1.095273387402595
2009-07-07 09:00:00,0.16,3.56,-1.8325814637483102,1.269760544863939
2009-07-07 10:00:00,0.18,4.66,-1.7147984280919266,1.5390154481375546
2009-07-07 11:00:00,0.231,5.91,-1.4653375684603434,1.776645831418007
2009-07-07 12:00:00,0.306,6.74,-1.1841701770297564,1.9080599249242156
2009-07-07 13:00:00,0.28600000000000003,6.75,-1.2517634681622845,1.9095425048844386
2009-07-07 14:00:00,0.246,6.25,-1.4024237430497744,1.8325814637483102
2009-07-07 15:00:00,0.306,5.67,-1.1841701770297564,1.7351891177396608
2009-07-07 16:00:00,0.306,5.38,-1.1841701770297564,1.682688374173693
2009-07-07 17:00:00,0.306,5.42,-1.1841701770297564,1.6900958154515549
2009-07-07 18:00:00,0.316,5.73,-1.152013065395225,1.7457155307266483
2009-07-07 19:00:00,0.381,6.25,-0.9649559038554361,1.8325814637483102
2009-07-07 20:00:00,0.411,6.77,-0.8891620644859025,1.9125010869241836
2009-07-07 21:00:00,0.426,7.04,-0.8533159327127666,1.951608170169951
2009-07-07 22:00:00,0.391,6.9,-0.9390477189967712,1.9315214116032138
2009-07-07 23:00:00,0.34600000000000003,6.41,-1.0613165039244128,1.8578592709325787
2009-07-08 00:00:00,0.316,5.68,-1.152013065395225,1.7369512327330598
2009-07-08 01:00:00,0.271,4.39,-1.305636458102436,1.47932922708708
2009-07-08 02:00:00,0.276,3.71,-1.287354413264987,1.3110318766193438
2009-07-08 03:00:00,0.226,3.22,-1.487220279709851,1.169381359556317
2009-07-08 04:00:00,0.276,3.0,-1.287354413264987,1.0986122886681098
2009-07-08 05:00:00,0.21600000000000005,2.93,-1.5324768712979717,1.075002423028976
2009-07-08 06:00:00,0.145,2.87,-1.9310215365615626,1.0543120297715298
2009-07-08 07:00:00,0.1,2.7,-2.3025850929940455,0.9932517730102834
2009-07-08 08:00:00,0.07,2.57,-2.659260036932778,0.9439058989071284
2009-07-08 09:00:00,0.06,2.65,-2.8134107167600364,0.9745596399981308
2009-07-08 10:00:00,0.06,3.08,-2.8134107167600364,1.1249295969854831
2009-07-08 11:00:00,0.045,3.65,-3.101092789211817,1.2947271675944
2009-07-08 12:00:00,0.045,4.05,-3.101092789211817,1.3987168811184478
2009-07-08 13:00:00,0.085,4.13,-2.4651040224918206,1.4182774069729414
2009-07-08 14:00:00,0.085,4.12,-2.4651040224918206,1.415853163361435
2009-07-08 15:00:00,0.08,4.09,-2.5257286443082556,1.4085449700547104
2009-07-08 16:00:00,0.095,3.96,-2.353878387381596,1.3762440252663892
2009-07-08 17:00:00,0.05,3.82,-2.995732273553991,1.3402504226184837
2009-07-08 18:00:00,0.035,3.8,-3.3524072174927233,1.33500106673234
2009-07-08 19:00:00,0.055,3.92,-2.900422093749666,1.366091653802371
2009-07-08 20:00:00,0.04,4.0,-3.2188758248682006,1.3862943611198906
2009-07-08 21:00:00,0.035,3.88,-3.3524072174927233,1.355835153635182
2009-07-08 22:00:00,0.02,3.42,-3.912023005428146,1.2296405510745139
2009-07-08 23:00:00,0.025,2.88,-3.6888794541139363,1.0577902941478545
2009-07-09 00:00:00,0.06,2.5,-2.8134107167600364,0.9162907318741551
2009-07-09 01:00:00,0.03,2.43,-3.506557897319982,0.8878912573524571
2009-07-09 02:00:00,0.045,2.65,-3.101092789211817,0.9745596399981308
2009-07-09 03:00:00,0.065,2.84,-2.7333680090865,1.0438040521731147
2009-07-09 04:00:00,0.075,2.76,-2.5902671654458267,1.0152306797290584
2009-07-09 05:00:00,0.135,2.49,-2.0024805005437076,0.9122827104766164
2009-07-09 06:00:00,0.185,2.22,-1.6873994539038122,0.7975071958841882
2009-07-09 07:00:00,0.075,2.09,-2.5902671654458267,0.7371640659767196
2009-07-09 08:00:00,0.005,2.01,-5.298317366548036,0.6981347220709843
2009-07-09 09:00:00,0.0,1.91,-inf,0.6471032420585384
2009-07-09 10:00:00,0.0,1.74,-inf,0.5538851132264376
2009-07-09 11:00:00,0.03,1.66,-3.506557897319982,0.5068176023684519
2009-07-09 12:00:00,0.03,1.71,-3.506557897319982,0.5364933705145685
2009-07-09 13:00:00,0.0,1.82,-inf,0.598836501088704
2009-07-09 14:00:00,0.0,1.93,-inf,0.6575200029167941
2009-07-09 15:00:00,0.0,2.07,-inf,0.7275486072772777
2009-07-09 16:00:00,0.0,2.27,-inf,0.8197798314933114
2009-07-09 17:00:00,0.0,2.5,-inf,0.9162907318741551
2009-07-09 18:00:00,0.015,2.75,-4.199705077879927,1.0116009116784799
2009-07-09 19:00:00,0.005,3.0,-5.298317366548036,1.0986122886681098
2009-07-09 20:00:00,0.025,3.24,-3.6888794541139363,1.1755733298042381
2009-07-09 21:00:00,0.095,3.33,-2.353878387381596,1.2029723039923526
2009-07-09 22:00:00,0.085,3.19,-2.4651040224918206,1.1600209167967532
2009-07-09 23:00:00,0.13,2.92,-2.0402208285265546,1.0715836162801904
2009-07-10 00:00:00,0.12,2.72,-2.120263536200091,1.000631880307906
2009-07-10 01:00:00,0.095,2.69,-2.353878387381596,0.9895411936137477
2009-07-10 02:00:00,0.095,2.8,-2.353878387381596,1.0296194171811581
2009-07-10 03:00:00,0.1,2.96,-2.3025850929940455,1.085189268335969
2009-07-10 04:00:00,0.16,3.11,-1.8325814637483102,1.1346227261911428
2009-07-10 05:00:00,0.19,3.22,-1.6607312068216509,1.169381359556317
2009-07-10 06:00:00,0.165,3.25,-1.8018098050815563,1.1786549963416462
2009-07-10 07:00:00,0.105,3.2,-2.2537949288246137,1.1631508098056809
2009-07-10 08:00:00,0.09,3.12,-2.4079456086518722,1.1378330018213911
2009-07-10 09:00:00,0.1,3.11,-2.3025850929940455,1.1346227261911428
2009-07-10 10:00:00,0.095,3.25,-2.353878387381596,1.1786549963416462
2009-07-10 11:00:00,0.11,3.44,-2.2072749131897207,1.235471471385307
2009-07-10 12:00:00,0.11,3.6,-2.2072749131897207,1.2809338454620642
2009-07-10 13:00:00,0.005,3.64,-5.298317366548036,1.2919836816486494
2009-07-10 14:00:00,0.0,3.62,-inf,1.2864740258376797
2009-07-10 15:00:00,0.04,3.64,-3.2188758248682006,1.2919836816486494
2009-07-10 16:00:00,0.165,3.85,-1.8018098050815563,1.3480731482996928
2009-07-10 17:00:00,0.266,4.29,-1.324258970200438,1.4562867329399256
2009-07-10 18:00:00,0.326,4.91,-1.1208578976154293,1.5912739418064292
2009-07-10 19:00:00,0.35100000000000003,5.55,-1.0469690555162712,1.713797927758343
2009-07-10 20:00:00,0.361,5.94,-1.018877320649256,1.7817091333745536
2009-07-10 21:00:00,0.311,5.78,-1.1679623668029029,1.7544036826842861
2009-07-10 22:00:00,0.306,4.9,-1.1841701770297564,1.589235205116581
2009-07-10 23:00:00,0.29100000000000004,3.71,-1.2344320118106444,1.3110318766193438
2009-07-11 00:00:00,0.281,2.77,-1.2694006096483912,1.0188473201992472
2009-07-11 01:00:00,0.236,2.69,-1.443923473956527,0.9895411936137477
2009-07-11 02:00:00,0.366,2.98,-1.0051219455807707,1.091923300517313
2009-07-11 03:00:00,0.381,3.3,-0.9649559038554361,1.1939224684724346
2009-07-11 04:00:00,0.421,3.43,-0.8651224452997557,1.2325602611778486
2009-07-11 05:00:00,0.481,3.47,-0.731888008876376,1.244154593958768
2009-07-11 06:00:00,0.451,3.6,-0.7962879394794586,1.2809338454620642
2009-07-11 07:00:00,0.466,3.9,-0.7635696448564911,1.3609765531356006
2009-07-11 08:00:00,0.476,4.21,-0.7423374247507171,1.43746264769429
2009-07-11 09:00:00,0.501,4.34,-0.6911491778972723,1.4678743481123135
2009-07-11 10:00:00,0.421,4.23,-0.8651224452997557,1.4422019930581866
2009-07-11 11:00:00,0.251,4.17,-1.3823023398503531,1.4279160358107101
2009-07-11 12:00:00,0.19,4.42,-1.6607312068216509,1.4861396960896067
2009-07-11 13:00:00,0.226,5.13,-1.487220279709851,1.6351056591826783
2009-07-11 14:00:00,0.18,6.11,-1.7147984280919266,1.809926773183504
2009-07-11 15:00:00,0.065,7.0,-2.7333680090865,1.9459101490553132
2009-07-11 16:00:00,0.115,7.45,-2.162823150618887,2.0082140323914683
2009-07-11 17:00:00,0.306,7.56,-1.1841701770297564,2.0228711901914416
2009-07-11 18:00:00,0.471,7.56,-0.7528971849657193,2.0228711901914416
2009-07-11 19:00:00,0.596,7.66,-0.5175146119167874,2.0360119837525
2009-07-11 20:00:00,0.657,7.86,-0.4200712604975265,2.061786606441115
2009-07-11 21:00:00,0.586,7.9,-0.5344354894051245,2.066862759472976
2009-07-11 22:00:00,0.5760000000000001,7.48,-0.5516476182862456,2.012232791986386
2009-07-11 23:00:00,0.627,6.7,-0.4668087383492164,1.9021075263969205
2009-07-12 00:00:00,0.546,5.87,-0.6051363032372319,1.7698546338400052
2009-07-12 01:00:00,0.521,5.01,-0.6520052372287701,1.6114359150967734
2009-07-12 02:00:00,0.35100000000000003,4.68,-1.0469690555162712,1.5432981099295553
2009-07-12 03:00:00,0.536,4.38,-0.623621117911335,1.4770487243883548
2009-07-12 04:00:00,0.617,4.05,-0.48288625507674926,1.3987168811184478
2009-07-12 05:00:00,0.5660000000000001,3.67,-0.569161200778954,1.3001916620664788
2009-07-12 06:00:00,0.411,3.3,-0.8891620644859025,1.1939224684724346
2009-07-12 07:00:00,0.29100000000000004,2.98,-1.2344320118106444,1.091923300517313
2009-07-12 08:00:00,0.29100000000000004,2.83,-1.2344320118106444,1.0402767116551463
2009-07-12 09:00:00,0.391,2.95,-0.9390477189967712,1.0818051703517284
2009-07-12 10:00:00,0.446,3.35,-0.807436326962073,1.208960345836975
2009-07-12 11:00:00,0.496,3.81,-0.7011793522572096,1.3376291891386096
2009-07-12 12:00:00,0.276,4.08,-1.287354413264987,1.4060969884160703
2009-07-12 13:00:00,0.075,3.98,-2.5902671654458267,1.3812818192963463
2009-07-12 14:00:00,0.18,3.82,-1.7147984280919266,1.3402504226184837
2009-07-12 15:00:00,0.211,3.99,-1.5558971455060706,1.3837912309017721
2009-07-12 16:00:00,0.29600000000000004,4.68,-1.2173958246580765,1.5432981099295553
2009-07-12 17:00:00,0.29100000000000004,5.67,-1.2344320118106444,1.7351891177396608
2009-07-12 18:00:00,0.29600000000000004,6.59,-1.2173958246580765,1.8855533485144158
2009-07-12 19:00:00,0.376,7.16,-0.9781661355922425,1.9685099809725544
2009-07-12 20:00:00,0.401,7.18,-0.9137938516755678,1.9712993830601329
2009-07-12 21:00:00,0.371,6.5,-0.991553216374702,1.8718021769015913
2009-07-12 22:00:00,0.28600000000000003,5.11,-1.2517634681622845,1.631199404215613
2009-07-12 23:00:00,0.175,3.63,-1.742969305058623,1.2892326482767593
2009-07-13 00:00:00,0.105,2.77,-2.2537949288246137,1.0188473201992472
2009-07-13 01:00:00,0.07,2.54,-2.659260036932778,0.9321640810304452
2009-07-13 02:00:00,0.135,2.79,-2.0024805005437076,1.0260415958332743
2009-07-13 03:00:00,0.165,3.2,-1.8018098050815563,1.1631508098056809
2009-07-13 04:00:00,0.236,3.44,-1.443923473956527,1.235471471385307
2009-07-13 05:00:00,0.306,3.49,-1.1841701770297564,1.2499017362143359
2009-07-13 06:00:00,0.336,3.4,-1.0906441190189327,1.2237754316221157
2009-07-13 07:00:00,0.29600000000000004,3.25,-1.2173958246580765,1.1786549963416462
2009-07-13 08:00:00,0.236,3.2,-1.443923473956527,1.1631508098056809
2009-07-13 09:00:00,0.201,3.34,-1.6044503709230613,1.205970806988609
2009-07-13 10:00:00,0.29100000000000004,3.8,-1.2344320118106444,1.33500106673234
2009-07-13 11:00:00,0.321,4.52,-1.1363141558521213,1.5085119938441398
2009-07-13 12:00:00,0.29100000000000004,5.36,-1.2344320118106444,1.6789639750827108
2009-07-13 13:00:00,0.326,6.2,-1.1208578976154293,1.824549292051046
2009-07-13 14:00:00,0.486,6.98,-0.7215466550816433,1.9430489167742813
2009-07-13 15:00:00,0.451,7.58,-0.7962879394794586,2.0255131996542803
2009-07-13 16:00:00,0.5760000000000001,7.87,-0.5516476182862456,2.063058062429312
2009-07-13 17:00:00,0.667,7.98,-0.4049652330665133,2.0769384114617173
2009-07-13 18:00:00,0.7120000000000001,8.16,-0.3396773675701612,2.0992441689760155
2009-07-13 19:00:00,0.787,8.52,-0.2395270305647338,2.1424163408412245
2009-07-13 20:00:00,0.8270000000000001,8.7,-0.18995058395844566,2.163323025660538
2009-07-13 21:00:00,0.847,8.2,-0.1660545843300827,2.1041341542702074
2009-07-13 22:00:00,0.672,6.74,-0.3974969384589874,1.9080599249242156
2009-07-13 23:00:00,0.511,4.87,-0.6713856887784326,1.5830939370944985
2009-07-14 00:00:00,0.331,3.35,-1.1056369036050742,1.208960345836975
2009-07-14 01:00:00,0.18,3.34,-1.7147984280919266,1.205970806988609
2009-07-14 02:00:00,0.221,3.15,-1.5095925774643841,1.1474024528375417
2009-07-14 03:00:00,0.281,3.16,-1.2694006096483912,1.1505720275988207
2009-07-14 04:00:00,0.371,3.12,-0.991553216374702,1.1378330018213911
2009-07-14 05:00:00,0.476,3.01,-0.7423374247507171,1.1019400787607843
2009-07-14 06:00:00,0.416,2.84,-0.8770700187208739,1.0438040521731147
2009-07-14 07:00:00,0.401,2.66,-0.9137938516755678,0.9783261227936078
2009-07-14 08:00:00,0.28600000000000003,2.59,-1.2517634681622845,0.9516578757114463
2009-07-14 09:00:00,0.221,2.74,-1.5095925774643841,1.007957920399979
2009-07-14 10:00:00,0.19,3.16,-1.6607312068216509,1.1505720275988207
2009-07-14 11:00:00,0.316,3.71,-1.152013065395225,1.3110318766193438
2009-07-14 12:00:00,0.211,4.24,-1.5558971455060706,1.4445632692438664
2009-07-14 13:00:00,0.17,4.63,-1.7719568419318752,1.5325568680981427
2009-07-14 14:00:00,0.185,4.98,-1.6873994539038122,1.6054298910365616
2009-07-14 15:00:00,0.18,5.34,-1.7147984280919266,1.6752256529721035
2009-07-14 16:00:00,0.175,5.64,-1.742969305058623,1.7298840655099674
2009-07-14 17:00:00,0.211,5.84,-1.5558971455060706,1.7647307968401356
2009-07-14 18:00:00,0.276,5.89,-1.287354413264987,1.7732559976634952
2009-07-14 19:00:00,0.246,5.71,-1.4024237430497744,1.742219023667919
2009-07-14 20:00:00,0.231,5.28,-1.4653375684603434,1.6639260977181702
2009-07-14 21:00:00,0.236,4.57,-1.443923473956527,1.5195132049061133
2009-07-14 22:00:00,0.231,3.59,-1.4653375684603434,1.2781522025001875
2009-07-14 23:00:00,0.211,2.55,-1.5558971455060706,0.9360933591703348
2009-07-15 00:00:00,0.145,1.72,-1.9310215365615626,0.5423242908253617
2009-07-15 01:00:00,0.075,1.79,-2.5902671654458267,0.5822156198526637
2009-07-15 02:00:00,0.065,2.04,-2.7333680090865,0.712949807856125
2009-07-15 03:00:00,0.04,2.51,-3.2188758248682006,0.9202827531436925
2009-07-15 04:00:00,0.05,2.96,-2.995732273553991,1.085189268335969
2009-07-15 05:00:00,0.065,3.36,-2.7333680090865,1.2119409739751128
2009-07-15 06:00:00,0.08,3.65,-2.5257286443082556,1.2947271675944
2009-07-15 07:00:00,0.04,3.76,-3.2188758248682006,1.324418957401803
2009-07-15 08:00:00,0.06,3.76,-2.8134107167600364,1.324418957401803
2009-07-15 09:00:00,0.135,3.79,-2.0024805005437076,1.332366019094335
2009-07-15 10:00:00,0.115,3.96,-2.162823150618887,1.3762440252663892
2009-07-15 11:00:00,0.12,4.23,-2.120263536200091,1.4422019930581866
2009-07-15 12:00:00,0.1,4.47,-2.3025850929940455,1.4973884086254774
2009-07-15 13:00:00,0.09,4.54,-2.4079456086518722,1.5129270120532565
2009-07-15 14:00:00,0.04,4.46,-3.2188758248682006,1.4951487660319727
2009-07-15 15:00:00,0.135,4.29,-2.0024805005437076,1.4562867329399256
2009-07-15 16:00:00,0.21600000000000005,4.13,-1.5324768712979717,1.4182774069729414
2009-07-15 17:00:00,0.226,4.14,-1.487220279709851,1.4206957878372228
2009-07-15 18:00:00,0.211,4.36,-1.5558971455060706,1.472472057360943
2009-07-15 19:00:00,0.201,4.77,-1.6044503709230613,1.5623463049002497
