,Unnamed: 0,target,text,length,words,hasTitle,hasContent,hasLang,hasCountry1,hasCountry2,hasCountry3,hasCountry4,num_countries
148,148,0.0,sandcov highway dubai covid19 pandem definit difficult photograph place doesnt exist fals,155,22,0,0,0,1,1,1,1,4
2455,2455,0.0,imag person sit near islam holiest shrine kaaba saudi arabia share repeat multipl post facebook instagram twitter onlin blog share alongsid claim show lone cleaner person permit sit kaaba coronavirus lockdown,330,56,0,0,0,1,1,1,1,4
3507,3507,0.0,product call air doctor protect covid19 wear,84,15,0,0,0,1,1,1,1,4
3244,3244,0.0,ukrain util bill defer month quarantin,77,13,0,0,0,1,1,1,1,4
2843,2843,0.0,claim indian prime minist modi said crore million covid19 infect patient treat free,122,19,0,0,0,1,1,1,1,4
3042,3042,0.0,5 pictur brazilian known politician chines man caption say man gang arrest são paulo steal covid19 test equip mask,201,35,0,0,0,1,1,1,1,4
418,418,0.0,japanes nobel laureat tasuku honjo announc coronavirus manmad,77,10,0,0,0,1,1,1,1,4
3582,3582,0.0,italian ministri interior rule public statement polic check peopl exit hous,129,22,0,0,0,1,1,1,1,4
3635,3635,0.0,relationship covid19 5g network,61,10,0,0,0,1,1,1,1,4
3343,3343,0.0,dr abdul rahman alyoubi director king abdulaziz univers saudi arabia share news new vaccin covid19 creat saudi doctor,154,25,0,1,1,0,0,0,0,0
84,84,0.0,photo famili commit suicid hunger lockdown,77,13,0,0,0,1,1,1,1,4
3887,3887,0.0,cuban research develop cure covid19,58,8,0,0,0,1,1,1,1,4
806,806,0.0,eat banana prevent coronavirus infect banana good sourc nutrient eat doesnt offer solid protect covid19 fals,180,24,0,0,0,1,1,1,1,4
871,871,0.0,cuba develop vaccin coronavirus,50,7,0,0,0,1,1,1,1,4
4089,4089,0.0,mayor curitiba brazil order closur shop citi regist death covid19,121,23,0,0,0,1,1,1,1,4
3687,3687,0.0,egyptian doctor habiba abdel ghani die covid19,53,8,0,1,1,0,0,0,0,0
3520,3520,0.0,price hydroxychloroquinebas medicin plaquenil franc multipli,89,11,0,0,0,1,1,1,1,4
1817,1817,0.0,presid chamber deputi brazil rodrigo maia rule state emerg bill februrari 2019,118,20,0,0,0,1,1,1,1,4
2899,2899,0.0,ship china anchor santa marta colombia,59,11,0,0,0,1,1,1,1,4
3967,3967,0.0,niño jesú hospit clean coronavirus care children young peopl madrid,103,18,0,0,0,1,1,1,1,4
1982,1982,0.0,romanian presid klaus iohanni say school reopen franc experi fail pupil posit,127,20,0,0,0,1,1,1,1,4
3556,3556,0.0,accord headlin articl share screenshot volunt unit kingdom covid19 vaccin trial die day get inject,180,29,0,0,0,1,1,1,1,4
3882,3882,0.0,alfalfa cure covid19,39,7,0,0,0,1,1,1,1,4
802,802,0.0,christin lagard say elder live long,56,9,0,0,0,1,1,1,1,4
1927,1927,0.0,multipl alleg coronavirus produc china,67,9,0,1,0,1,1,1,1,4
3693,3693,0.0,video show bodi bag pile spanish hospit,57,12,0,0,0,1,1,1,1,4
1995,1995,0.0,studi indic black tea puer tea prevent coronavirus,69,11,0,0,0,1,1,1,1,4
2509,2509,0.0,covid19 creat lab biolog weapon,65,13,0,0,0,1,1,1,1,4
3926,3926,0.0,amid covid19 pandem mp govern order hous lock april 1 2020,80,12,0,0,0,1,1,1,1,4
4014,4014,0.0,egyptian actor saad elsaeer covid19 photo hospit,86,15,0,0,0,1,1,1,1,4
2978,2978,0.0,spain health secretari advis sell product china,70,9,0,0,0,1,1,1,1,4
1816,1816,0.0,48 pcr test tokyo 19th,53,11,0,0,0,1,1,1,1,4
576,576,0.0,novel coronavirus transmit packag andor import good ship china korea,100,15,0,1,1,0,0,0,0,0
861,861,0.0,drink alcohol smoke help prevent new coronavirus infect organ,95,13,0,0,0,1,1,1,1,4
4178,4178,0.0,video influenc miranda makaroff say brain control immun system heal,106,19,0,0,0,1,1,1,1,4
3362,3362,0.0,famous brazilian doctor defend approach vertic social distanc,86,12,0,0,0,1,1,1,1,4
2709,2709,0.0,donald trump attempt steal covid19 vaccin german compani refus test kit,109,19,0,1,1,0,0,0,0,0
3894,3894,0.0,5g technolog believ caus coronavirus,55,8,0,0,0,1,1,1,1,4
747,747,0.0,person die hematemesi beitou diagnos 2019ncov wear mask taipei,101,18,0,0,0,1,1,1,1,4
3542,3542,0.0,ministri health block respir seat produc spain,77,12,0,0,0,1,1,1,1,4
1094,1094,0.0,promin nation news channel zee news newscard state lockdown extend june 15th 2020,114,17,0,0,0,1,1,1,1,4
412,412,0.0,french health minist prevent use chloroquin heal die peopl covid19 harm infectologist didier raoult,133,20,0,0,0,1,1,1,1,4
839,839,0.0,claim polish govern plan cut famili benefit coronavirus,91,15,0,0,0,1,1,1,1,4
81,81,0.0,new vaccin help cure coronavirus hour,54,9,0,0,0,1,1,1,1,4
3799,3799,0.0,italian air forc air motiv public quarantin,70,11,0,1,0,1,1,1,1,4
3825,3825,0.0,video show seafood market wuhan china,51,9,0,0,0,1,1,1,1,4
196,196,0.0,muslim polic offic beat templ priest break lockdown order india,93,16,0,0,0,1,1,1,1,4
19,19,0.0,whatsapp messag claim washington post confirm origin sarscov2 secur breach laboratori wuhan,152,26,0,0,0,1,1,1,1,4
1880,1880,0.0,photograph prove there room italian hospit,67,10,0,0,0,1,1,1,1,4
1181,1181,0.0,kennedi center pbs donat democrat get covid19 stimulus money,80,11,0,0,0,1,1,1,1,4
1560,1560,0.0,unit state 360000 death year swim pool dont shut countri,124,22,0,0,0,1,1,1,1,4
2624,2624,0.0,ruth mari calderon academi john maxwel bolivia share inform unknown cure covid19,114,18,0,0,0,1,1,1,1,4
1191,1191,0.0,situat tokyo remain critic util rate hospit bed 11th 91,102,18,0,0,0,1,1,1,1,4
1156,1156,0.0,post say die coronavirus unit state,69,13,0,0,0,1,1,1,1,4
4045,4045,0.0,presid trump sent tweet includ phrase oldi die connect lift coronavirus restrict,137,21,0,0,0,1,1,1,1,4
2152,2152,0.0,chloroquin forbidden french govern decre januari,68,10,0,0,0,1,1,1,1,4
2729,2729,0.0,chines convert islam realiz muslim affect covd19 countri,98,16,0,0,0,1,1,1,1,4
4212,4212,0.0,harri kissing quot say herd accept mandatori forcibl vaccin game,105,15,0,0,0,1,1,1,1,4
3033,3033,0.0,pneumonia thrombosi kill today patient coronavirus given heparin,103,16,0,0,0,1,1,1,1,4
3161,3161,0.0,doctor sgrh hospit new delhi india prescrib hydroxychloroquin tablet prevent covid19 infect,118,17,0,0,0,1,1,1,1,4
1508,1508,0.0,say coronavirus transmiss longer happen droplet air,100,16,0,0,0,1,1,1,1,4
2502,2502,0.0,facebook post share thousand time featur video offici talk report caption claim announc arrest chines scientist,175,27,0,0,0,1,1,1,1,4
167,167,0.0,imag peacock gather ootycoimbator road india amid nationwid lockdown,86,12,0,0,0,1,1,1,1,4
1675,1675,0.0,muslim throw currenc note road spread coronavirus indor citi india,95,16,0,0,0,1,1,1,1,4
3929,3929,0.0,1200 coronavirus relief check year advanc tax return year your automat go owe 1200 come tax season,168,29,0,0,0,1,1,1,1,4
4074,4074,0.0,israel alleg develop covid19 vaccin,47,6,0,0,0,1,1,1,1,4
3071,3071,0.0,indian citizen rs5000 covid19 relief click link given viral whatsapp messag,117,20,0,0,0,1,1,1,1,4
2310,2310,0.0,photo hundr peopl pray share hundr time facebook twitter alongsid claim show muslim south india flout nation covid19 lockdown offer nighttim prayer,229,37,0,0,0,1,1,1,1,4
2391,2391,0.0,hot environ ginger ginger prevent covid19 infect,72,11,0,0,0,1,1,1,1,4
1339,1339,0.0,russia vaccin fight covid19,48,8,0,0,0,1,1,1,1,4
1787,1787,0.0,policemen china chase covid19 subway station,55,9,0,0,0,1,1,1,1,4
2517,2517,0.0,ecuadorean doctor save life wuhan crisi,55,8,0,0,0,1,1,1,1,4
3999,3999,0.0,mosqu allow stay open coronavirus epidem church forc close,107,18,0,0,0,1,1,1,1,4
1278,1278,0.0,imag indian muslim pray rooftop despit complet lockdown,72,10,0,0,0,1,1,1,1,4
2314,2314,0.0,video show overcrowd sharmik train oper govern india travel strand migrant labour current lockdown,153,23,0,0,0,1,1,1,1,4
4204,4204,0.0,video show american student sing indian nation anthem thank india suppli hydroxychloroquin,117,15,0,0,0,1,1,1,1,4
3191,3191,0.0,video show bodi deceas covid19 victim wash ashor countri dump sea,116,19,1,0,0,1,1,1,1,4
2510,2510,0.0,ghana nation servic secretariat withhold payment personnel covid19,95,13,0,0,0,1,1,1,1,4
3422,3422,0.0,photo claim lithuanian town mazeikiai cut rest countri outbreak covid19,127,24,0,0,0,1,1,1,1,4
595,595,0.0,staff mumbai hotel covidposit case,54,8,0,0,0,1,1,1,1,4
1778,1778,0.0,3500 italian potenti infect novel coronavirus arriv brazil cruis ship,98,15,0,0,0,1,1,1,1,4
497,497,0.0,cdc detain fever indefinit vaccin way peopl detent,113,19,0,0,0,1,1,1,1,4
1765,1765,0.0,poison spray coronavirus malaysia singapor air,65,10,0,0,0,1,1,1,1,4
945,945,0.0,hoax claim share hundr time facebook twitter certain viral outbreak 100 year align introduct new telecommun technolog post suggest ongo covid19 pandem link rollout 5g mobil phone technolog,301,48,0,0,0,1,1,1,1,4
1997,1997,0.0,chlorin dioxyd cure covid19,43,7,0,0,0,1,1,1,1,4
1391,1391,0.0,madagascar presid announc tri bribe poison miracel treatment covid19,108,16,0,0,0,1,1,1,1,4
2790,2790,0.0,coronavirus exist domest anim vaccin fight,99,17,0,0,0,1,1,1,1,4
663,663,0.0,canadian depart health issu emerg notif ask peopl drink warm water,102,15,0,0,0,1,1,1,1,4
173,173,0.0,coronavirus aid relief econom secur act give member congress pay increas,97,15,0,0,0,1,1,1,1,4
1742,1742,0.0,photo share thousand time multipl facebook post alongsid claim show bodi kill covid19,133,23,0,0,0,1,1,1,1,4
1658,1658,0.0,nigerian burn chines store,41,5,0,0,0,1,1,1,1,4
1323,1323,0.0,coronavirus defeat antiinflammatori anticoagul,81,9,0,0,0,1,1,1,1,4
2171,2171,0.0,new coronavirus die temperatur 2627 degre celsius,74,12,0,1,1,0,0,0,0,0
3897,3897,0.0,italian govern prohibit christian mass allow prayer islam mosqu,99,14,0,0,0,1,1,1,1,4
2772,2772,0.0,imag show spanish scientist ask cristiano ronaldo messi find cure covid19,101,17,0,0,0,1,1,1,1,4
1263,1263,0.0,pope franci ran away public meet coronavirus fear,67,12,0,0,0,1,1,1,1,4
1590,1590,0.0,pentagon studi found peopl flu vaccin 36 like covid19,96,18,0,0,0,1,1,1,1,4
2988,2988,0.0,imag train inscript covid19,53,9,0,0,0,1,1,1,1,4
3480,3480,0.0,bowl fresh boil garlic water cure novel coronavirus 2019ncov,81,13,0,0,0,1,1,1,1,4
974,974,0.0,pictur show list advic given prevent cure covid19,79,15,0,0,0,1,1,1,1,4
3776,3776,0.0,bollywood actor aamir khan help needi covid19 crisi send flour bag cash,116,20,0,0,0,1,1,1,1,4
3531,3531,0.0,volcan ash kill coronavirus,39,6,0,0,0,1,1,1,1,4
329,329,0.0,drink water 15 minut help avoid contagion cononavirus,77,12,0,0,0,1,1,1,1,4
3544,3544,0.0,accord document leak bill gate foundat chines scientist mrs shih zheng respons releas covid19 place piec pollut day ice near wuhan seafood market,215,34,0,0,0,1,1,1,1,4
3807,3807,0.0,nurs bori johnson claim save life regist uk,83,15,1,1,0,1,1,1,1,4
2405,2405,0.0,armi patrol street town villag ireland,71,12,0,0,0,1,1,1,1,4
4006,4006,0.0,coronavirus cure 2 hour drink bitter gourd juic,73,12,1,1,0,1,1,1,1,4
2635,2635,0.0,60 democrat vote coronavirus stimulus bill,62,8,0,0,0,1,1,1,1,4
